gender,Race,Education,totalyearlycompensation
Male,White,Highschool,15000
Male,Asian,Bachelor's Degree,130000
Male,White,Bachelor's Degree,70000
Male,White,Bachelor's Degree,145000
Male,Two Or More,Bachelor's Degree,108000
Male,White,Bachelor's Degree,165000
Female,Hispanic,Bachelor's Degree,138000
Male,White,Bachelor's Degree,205000
Male,White,Bachelor's Degree,135000
Male,Asian,Bachelor's Degree,365000
Female,Asian,Master's Degree,175000
Male,Hispanic,Some College,120000
Male,Asian,Bachelor's Degree,182000
Male,Asian,Bachelor's Degree,219000
Male,Asian,Master's Degree,138000
Female,White,Master's Degree,215000
Male,White,Master's Degree,226000
Male,Two Or More,Bachelor's Degree,217000
Male,Asian,Master's Degree,175000
Male,Asian,Master's Degree,403000
Male,Asian,Master's Degree,273000
Male,Asian,Master's Degree,225000
Male,Asian,Master's Degree,165000
Male,Asian,Master's Degree,200000
Male,White,Bachelor's Degree,130000
Male,White,Bachelor's Degree,119000
Male,Asian,Bachelor's Degree,155000
Male,Asian,Master's Degree,21000
Male,White,Some College,210000
Male,White,Bachelor's Degree,214000
Female,Asian,Bachelor's Degree,24000
Male,Two Or More,Bachelor's Degree,255000
Female,White,Bachelor's Degree,145000
Male,Asian,Master's Degree,220000
Male,Asian,Bachelor's Degree,190000
Female,Asian,Master's Degree,110000
Male,Two Or More,Bachelor's Degree,152000
Male,White,Bachelor's Degree,165000
Male,White,Bachelor's Degree,115000
Male,White,Bachelor's Degree,105000
Male,Asian,Master's Degree,285000
Male,White,Bachelor's Degree,138000
Male,Asian,PhD,270000
Male,White,Bachelor's Degree,220000
Male,White,Master's Degree,120000
Male,Asian,Master's Degree,164000
Male,Asian,Bachelor's Degree,146000
Male,Asian,Master's Degree,238000
Male,White,Bachelor's Degree,174000
Male,White,Master's Degree,289000
Male,Asian,Bachelor's Degree,190000
Male,White,Master's Degree,193000
Male,White,Master's Degree,200000
Male,White,Bachelor's Degree,220000
Male,White,Master's Degree,175000
Male,Asian,Highschool,194000
Male,Asian,Master's Degree,315000
Male,White,Bachelor's Degree,36000
Male,Asian,Bachelor's Degree,270000
Male,White,Bachelor's Degree,145000
Male,White,Bachelor's Degree,150000
Male,White,Some College,181000
Male,White,Bachelor's Degree,173000
Male,Black,Master's Degree,170000
Male,Asian,Master's Degree,140000
Male,White,Master's Degree,320000
Male,Hispanic,Master's Degree,200000
Male,White,Bachelor's Degree,175000
Female,Asian,Master's Degree,127000
Male,White,Bachelor's Degree,135000
Male,Asian,Bachelor's Degree,35000
Male,Two Or More,Bachelor's Degree,158000
Male,Black,Bachelor's Degree,57000
Male,White,Bachelor's Degree,315000
Male,Asian,Bachelor's Degree,190000
Male,White,Bachelor's Degree,336000
Male,White,Bachelor's Degree,116000
Male,White,Bachelor's Degree,132000
Male,White,Bachelor's Degree,105000
Female,White,Master's Degree,240000
Male,Asian,Master's Degree,128000
Female,White,Bachelor's Degree,172000
Male,Asian,Master's Degree,192000
Male,Black,Bachelor's Degree,77000
Female,White,Bachelor's Degree,190000
Male,Asian,Master's Degree,163000
Male,Asian,Bachelor's Degree,248000
Female,Asian,Master's Degree,173000
Female,Asian,Master's Degree,204000
Male,Asian,Master's Degree,215000
Male,Asian,Master's Degree,155000
Male,White,Bachelor's Degree,191000
Male,Two Or More,Highschool,262000
Male,Asian,Master's Degree,113000
Female,Asian,Master's Degree,206000
Male,Asian,Master's Degree,202000
Male,Asian,PhD,264000
Male,White,Highschool,130000
Male,Asian,Bachelor's Degree,175000
Male,Asian,Master's Degree,265000
Male,Asian,Bachelor's Degree,62000
Male,Asian,Master's Degree,164000
Male,Asian,Master's Degree,125000
Male,Two Or More,Master's Degree,135000
Male,Asian,Bachelor's Degree,47000
Male,White,Bachelor's Degree,128000
Female,Asian,Master's Degree,246000
Male,White,Bachelor's Degree,245000
Male,White,Bachelor's Degree,135000
